"District","FIPS","Year","Variable","Measure Type","Value"
"Bristol School District","900308490","2014-2015","Student Enrollment","Number","8233"
"Brookfield School District","900108980","2014-2015","Student Enrollment","Number","2719"
"Brooklyn School District","","2014-2015","Student Enrollment","Number","920"
"Canaan School District","","2014-2015","Student Enrollment","Number","78"
"Canterbury School District","","2014-2015","Student Enrollment","Number","477"
"Canton School District","900312270","2014-2015","Student Enrollment","Number","1629"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Student Enrollment","Number","-6666"
"Capitol Region Education Council","","2014-2015","Student Enrollment","Number","8166"
"Chaplin School District","","2014-2015","Student Enrollment","Number","178"
"Charter School for Young Children on Asylum Hill","","2014-2015","Student Enrollment","Number","-6666"
"Cheshire School District","900914160","2014-2015","Student Enrollment","Number","4551"
"Chester School District","","2014-2015","Student Enrollment","Number","219"
"Clinton School District","900715350","2014-2015","Student Enrollment","Number","1888"
"Colchester School District","901115910","2014-2015","Student Enrollment","Number","2654"
"Colebrook School District","","2014-2015","Student Enrollment","Number","91"
"Columbia School District","","2014-2015","Student Enrollment","Number","458"
"Common Ground High School District","","2014-2015","Student Enrollment","Number","180"
"Connecticut","9","2014-2015","Student Enrollment","Number","546347"
"Connecticut Technical High School System","","2014-2015","Student Enrollment","Number","10790"
"Cooperative Educational Services","","2014-2015","Student Enrollment","Number","849"
"Cornwall School District","","2014-2015","Student Enrollment","Number","91"
"Coventry School District","","2014-2015","Student Enrollment","Number","1651"
"Cromwell School District","","2014-2015","Student Enrollment","Number","1984"
"Danbury School District","900118500","2014-2015","Student Enrollment","Number","10945"
"Darien School District","900118850","2014-2015","Student Enrollment","Number","4932"
"Deep River School District","","2014-2015","Student Enrollment","Number","316"
"Department of Mental Health and Addiction Services","","2014-2015","Student Enrollment","Number","7"
"Derby School District","900919550","2014-2015","Student Enrollment","Number","1467"
"East Granby School District","900322070","2014-2015","Student Enrollment","Number","886"
"East Haddam School District","","2014-2015","Student Enrollment","Number","1143"
"East Hampton School District","900722490","2014-2015","Student Enrollment","Number","1835"
"East Hartford School District","900322630","2014-2015","Student Enrollment","Number","7060"
"East Haven School District","900922910","2014-2015","Student Enrollment","Number","3011"
"East Lyme School District","901123400","2014-2015","Student Enrollment","Number","2839"
"East Windsor School District","900324800","2014-2015","Student Enrollment","Number","1138"
"Eastern Connecticut Regional Educational Services","","2014-2015","Student Enrollment","Number","411"
"Eastford School District","","2014-2015","Student Enrollment","Number","139"
"Easton School District","","2014-2015","Student Enrollment","Number","936"
"Ellington School District","901325360","2014-2015","Student Enrollment","Number","2658"
"Elm City College Preparatory School District","","2014-2015","Student Enrollment","Number","635"
"Elm City Montessori School District","","2014-2015","Student Enrollment","Number","70"
"Enfield School District","900325990","2014-2015","Student Enrollment","Number","5174"
"Essex School District","","2014-2015","Student Enrollment","Number","454"
"Explorations District","","2014-2015","Student Enrollment","Number","88"
"Fairfield School District","900126620","2014-2015","Student Enrollment","Number","10213"
"Farmington School District","900327600","2014-2015","Student Enrollment","Number","4020"
"Franklin School District","","2014-2015","Student Enrollment","Number","170"
"Glastonbury School District","900331240","2014-2015","Student Enrollment","Number","6148"
"Granby School District","900332640","2014-2015","Student Enrollment","Number","1970"
"Great Oaks Charter School Bridgeport","","2014-2015","Student Enrollment","Number","127"
"Greenwich School District","900133620","2014-2015","Student Enrollment","Number","8813"
"Griswold School District","901133900","2014-2015","Student Enrollment","Number","1897"
"Groton School District","901134250","2014-2015","Student Enrollment","Number","4565"
"Guilford School District","900934950","2014-2015","Student Enrollment","Number","3427"
"Hamden School District","900935650","2014-2015","Student Enrollment","Number","5680"
"Hampton School District","","2014-2015","Student Enrollment","Number","105"
"Hartford School District","900337070","2014-2015","Student Enrollment","Number","21953"
"Hartland School District","","2014-2015","Student Enrollment","Number","203"
"Hebron School District","","2014-2015","Student Enrollment","Number","786"
"Highville Charter School District","","2014-2015","Student Enrollment","Number","403"
"Integrated Day Charter School District","","2014-2015","Student Enrollment","Number","331"
"Interdistrict School for Arts and Communication District","","2014-2015","Student Enrollment","Number","262"
"Jumoke Academy District","","2014-2015","Student Enrollment","Number","716"
"Kent School District","","2014-2015","Student Enrollment","Number","258"
"Killingly School District","901540500","2014-2015","Student Enrollment","Number","2576"
"LEARN","","2014-2015","Student Enrollment","Number","2270"
"Lebanon School District","901142390","2014-2015","Student Enrollment","Number","1105"
"Ledyard School District","901142600","2014-2015","Student Enrollment","Number","2540"
"Lisbon School District","","2014-2015","Student Enrollment","Number","403"
"Litchfield School District","900543370","2014-2015","Student Enrollment","Number","983"
"Madison School District","900944560","2014-2015","Student Enrollment","Number","3171"
"Manchester School District","900344700","2014-2015","Student Enrollment","Number","6267"
"Mansfield School District","","2014-2015","Student Enrollment","Number","1242"
"Marlborough School District","","2014-2015","Student Enrollment","Number","600"
"Meriden School District","900946520","2014-2015","Student Enrollment","Number","8100"
"Middletown School District","900747360","2014-2015","Student Enrollment","Number","4793"
"Milford School District","900947535","2014-2015","Student Enrollment","Number","6278"
"Monroe School District","900148620","2014-2015","Student Enrollment","Number","3299"
"Montville School District","901148900","2014-2015","Student Enrollment","Number","2356"
"Naugatuck School District","900949950","2014-2015","Student Enrollment","Number","4316"
"New Beginnings Inc. Family Academy District","","2014-2015","Student Enrollment","Number","473"
"New Britain School District","900350440","2014-2015","Student Enrollment","Number","10101"
"New Canaan School District","900150580","2014-2015","Student Enrollment","Number","4213"
"New Fairfield School District","900150860","2014-2015","Student Enrollment","Number","2662"
"New Hartford School District","","2014-2015","Student Enrollment","Number","506"
"New Haven School District","900952070","2014-2015","Student Enrollment","Number","21711"
"New London School District","901152350","2014-2015","Student Enrollment","Number","3253"
"New Milford School District","900552630","2014-2015","Student Enrollment","Number","4362"
"Newington School District","900352140","2014-2015","Student Enrollment","Number","4127"
"Newtown School District","900152980","2014-2015","Student Enrollment","Number","4767"
"Norfolk School District","","2014-2015","Student Enrollment","Number","116"
"North Branford School District","900953890","2014-2015","Student Enrollment","Number","1969"
"North Canaan School District","","2014-2015","Student Enrollment","Number","280"
"North Haven School District","900954870","2014-2015","Student Enrollment","Number","3312"
"North Stonington School District","901155500","2014-2015","Student Enrollment","Number","741"
"Norwalk School District","900156060","2014-2015","Student Enrollment","Number","11311"
"Norwich Free Academy District","","2014-2015","Student Enrollment","Number","2317"
"Norwich School District","901156270","2014-2015","Student Enrollment","Number","3764"
"Odyssey Community School District","","2014-2015","Student Enrollment","Number","328"
"Old Saybrook School District","900757320","2014-2015","Student Enrollment","Number","1425"
"Orange School District","","2014-2015","Student Enrollment","Number","1180"
"Oxford School District","900958300","2014-2015","Student Enrollment","Number","1979"
"Park City Prep Charter School District","","2014-2015","Student Enrollment","Number","360"
"Path Academy District","","2014-2015","Student Enrollment","Number","132"
"Plainfield School District","901559980","2014-2015","Student Enrollment","Number","2351"
"Plainville School District","900360120","2014-2015","Student Enrollment","Number","2412"
"Plymouth School District","900560750","2014-2015","Student Enrollment","Number","1556"
"Pomfret School District","","2014-2015","Student Enrollment","Number","410"
"Portland School District","900761800","2014-2015","Student Enrollment","Number","1334"
"Preston School District","","2014-2015","Student Enrollment","Number","426"
"Putnam School District","901562710","2014-2015","Student Enrollment","Number","1252"
"Redding School District","","2014-2015","Student Enrollment","Number","1001"
"Regional School District 01","","2014-2015","Student Enrollment","Number","406"
"Regional School District 04","","2014-2015","Student Enrollment","Number","974"
"Regional School District 05","","2014-2015","Student Enrollment","Number","2328"
"Regional School District 06","","2014-2015","Student Enrollment","Number","971"
"Regional School District 07","","2014-2015","Student Enrollment","Number","1076"
"Regional School District 08","","2014-2015","Student Enrollment","Number","1661"
"Regional School District 09","","2014-2015","Student Enrollment","Number","1065"
"Regional School District 10","","2014-2015","Student Enrollment","Number","2484"
"Regional School District 11","","2014-2015","Student Enrollment","Number","278"
"Regional School District 12","","2014-2015","Student Enrollment","Number","752"
"Regional School District 13","","2014-2015","Student Enrollment","Number","1832"
"Regional School District 14","","2014-2015","Student Enrollment","Number","1803"
"Regional School District 15","","2014-2015","Student Enrollment","Number","3868"
"Regional School District 16","","2014-2015","Student Enrollment","Number","2329"
"Regional School District 17","","2014-2015","Student Enrollment","Number","2186"
"Regional School District 18","","2014-2015","Student Enrollment","Number","1354"
"Regional School District 19","","2014-2015","Student Enrollment","Number","1204"
"Ridgefield School District","900163970","2014-2015","Student Enrollment","Number","5178"
"Rocky Hill School District","900365370","2014-2015","Student Enrollment","Number","2487"
"Salem School District","","2014-2015","Student Enrollment","Number","399"
"Salisbury School District","","2014-2015","Student Enrollment","Number","273"
"Scotland School District","","2014-2015","Student Enrollment","Number","129"
"Seymour School District","900967610","2014-2015","Student Enrollment","Number","2286"
"Sharon School District","","2014-2015","Student Enrollment","Number","177"
"Shelton School District","900168170","2014-2015","Student Enrollment","Number","4947"
"Sherman School District","","2014-2015","Student Enrollment","Number","349"
"Side By Side Charter School District","","2014-2015","Student Enrollment","Number","235"
"Simsbury School District","900368940","2014-2015","Student Enrollment","Number","4307"
"Somers School District","901369220","2014-2015","Student Enrollment","Number","1480"
"South Windsor School District","900371390","2014-2015","Student Enrollment","Number","4216"
"Southington School District","900370550","2014-2015","Student Enrollment","Number","6626"
"Sprague School District","","2014-2015","Student Enrollment","Number","366"
"Stafford School District","901372090","2014-2015","Student Enrollment","Number","1586"
"Stamford Academy District","","2014-2015","Student Enrollment","Number","141"
"Stamford Charter School for Excellence District","","2014-2015","Student Enrollment","Number","-6666"
"Stamford School District","900173070","2014-2015","Student Enrollment","Number","16085"
"Sterling School District","","2014-2015","Student Enrollment","Number","467"
"Stonington School District","901173770","2014-2015","Student Enrollment","Number","2267"
"Stratford School District","900174190","2014-2015","Student Enrollment","Number","7060"
"Suffield School District","900374540","2014-2015","Student Enrollment","Number","2397"
"The Bridge Academy District","","2014-2015","Student Enrollment","Number","275"
"The Gilbert School District","","2014-2015","Student Enrollment","Number","552"
"Thomaston School District","900575730","2014-2015","Student Enrollment","Number","912"
"Thompson School District","901575870","2014-2015","Student Enrollment","Number","1016"
"Tolland School District","901376290","2014-2015","Student Enrollment","Number","2677"
"Torrington School District","900576570","2014-2015","Student Enrollment","Number","4303"
"Trailblazers Academy District","","2014-2015","Student Enrollment","Number","119"
"Trumbull School District","900177200","2014-2015","Student Enrollment","Number","6716"
"Unified School District #1","","2014-2015","Student Enrollment","Number","410"
"Unified School District #2","","2014-2015","Student Enrollment","Number","215"
"Union School District","","2014-2015","Student Enrollment","Number","80"
"Vernon School District","901378250","2014-2015","Student Enrollment","Number","3282"
"Voluntown School District","","2014-2015","Student Enrollment","Number","317"
"Wallingford School District","900978740","2014-2015","Student Enrollment","Number","6105"
"Waterbury School District","900980070","2014-2015","Student Enrollment","Number","18878"
"Waterford School District","901180280","2014-2015","Student Enrollment","Number","2552"
"Watertown School District","900580490","2014-2015","Student Enrollment","Number","2848"
"West Hartford School District","900382590","2014-2015","Student Enrollment","Number","9794"
"West Haven School District","900982870","2014-2015","Student Enrollment","Number","5940"
"Westbrook School District","900781680","2014-2015","Student Enrollment","Number","807"
"Western Connecticut Regional Educational Services","","2014-2015","Student Enrollment","Number","250"
"Weston School District","900183430","2014-2015","Student Enrollment","Number","2413"
"Westport School District","900183500","2014-2015","Student Enrollment","Number","5772"
"Wethersfield School District","900384900","2014-2015","Student Enrollment","Number","3647"
"Willington School District","","2014-2015","Student Enrollment","Number","430"
"Wilton School District","900186370","2014-2015","Student Enrollment","Number","4272"
"Winchester School District","900586440","2014-2015","Student Enrollment","Number","609"
"Windham School District","901586790","2014-2015","Student Enrollment","Number","3190"
"Windsor Locks School District","900387070","2014-2015","Student Enrollment","Number","1664"
"Windsor School District","900387000","2014-2015","Student Enrollment","Number","3168"
"Wolcott School District","900987560","2014-2015","Student Enrollment","Number","2365"
"Woodbridge School District","","2014-2015","Student Enrollment","Number","797"
"Woodstock Academy District","","2014-2015","Student Enrollment","Number","1012"
"Woodstock School District","","2014-2015","Student Enrollment","Number","873"
"Achievement First Bridgeport Academy District","","2015-2016","Student Enrollment","Number","1016"
"Achievement First Hartford Academy District","","2015-2016","Student Enrollment","Number","1063"
"Amistad Academy District","","2015-2016","Student Enrollment","Number","1036"
"Andover School District","","2015-2016","Student Enrollment","Number","250"
"Ansonia School District","900901220","2015-2016","Student Enrollment","Number","2382"
"Area Cooperative Educational Services","","2015-2016","Student Enrollment","Number","1948"
"Ashford School District","","2015-2016","Student Enrollment","Number","400"
"Avon School District","900302060","2015-2016","Student Enrollment","Number","3285"
"Barkhamsted School District","","2015-2016","Student Enrollment","Number","286"
"Berlin School District","","2015-2016","Student Enrollment","Number","2879"
"Bethany School District","","2015-2016","Student Enrollment","Number","383"
"Bethel School District","900104720","2015-2016","Student Enrollment","Number","2971"
"Bloomfield School District","900305910","2015-2016","Student Enrollment","Number","2078"
"Bolton School District","901306260","2015-2016","Student Enrollment","Number","820"
"Booker T Washington Academy District","","2015-2016","Student Enrollment","Number","180"
"Bozrah School District","","2015-2016","Student Enrollment","Number","202"
"Branford School District","900907310","2015-2016","Student Enrollment","Number","3066"
"Brass City Charter School District","","2015-2016","Student Enrollment","Number","186"
"Bridgeport School District","900108070","2015-2016","Student Enrollment","Number","21191"
"Bristol School District","900308490","2015-2016","Student Enrollment","Number","8170"
"Brookfield School District","900108980","2015-2016","Student Enrollment","Number","2692"
"Brooklyn School District","","2015-2016","Student Enrollment","Number","908"
"Canaan School District","","2015-2016","Student Enrollment","Number","-9999"
"Canterbury School District","","2015-2016","Student Enrollment","Number","494"
"Canton School District","900312270","2015-2016","Student Enrollment","Number","1633"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Student Enrollment","Number","249"
"Capitol Region Education Council","","2015-2016","Student Enrollment","Number","8354"
"Chaplin School District","","2015-2016","Student Enrollment","Number","176"
"Charter School for Young Children on Asylum Hill","","2015-2016","Student Enrollment","Number","-6666"
"Cheshire School District","900914160","2015-2016","Student Enrollment","Number","4413"
"Chester School District","","2015-2016","Student Enrollment","Number","211"
"Clinton School District","900715350","2015-2016","Student Enrollment","Number","1822"
"Colchester School District","901115910","2015-2016","Student Enrollment","Number","2563"
"Colebrook School District","","2015-2016","Student Enrollment","Number","84"
"Columbia School District","","2015-2016","Student Enrollment","Number","454"
"Common Ground High School District","","2015-2016","Student Enrollment","Number","186"
"Connecticut","9","2015-2016","Student Enrollment","Number","541815"
"Connecticut Technical High School System","","2015-2016","Student Enrollment","Number","10710"
"Cooperative Educational Services","","2015-2016","Student Enrollment","Number","869"
"Cornwall School District","","2015-2016","Student Enrollment","Number","92"
"Coventry School District","","2015-2016","Student Enrollment","Number","1634"
"Cromwell School District","","2015-2016","Student Enrollment","Number","1997"
"Danbury School District","900118500","2015-2016","Student Enrollment","Number","11157"
"Darien School District","900118850","2015-2016","Student Enrollment","Number","4884"
"Deep River School District","","2015-2016","Student Enrollment","Number","306"
"Department of Mental Health and Addiction Services","","2015-2016","Student Enrollment","Number","-9999"
"Derby School District","900919550","2015-2016","Student Enrollment","Number","1403"
"East Granby School District","900322070","2015-2016","Student Enrollment","Number","878"
"East Haddam School District","","2015-2016","Student Enrollment","Number","1073"
"East Hampton School District","900722490","2015-2016","Student Enrollment","Number","1893"
"East Hartford School District","900322630","2015-2016","Student Enrollment","Number","6882"
"East Haven School District","900922910","2015-2016","Student Enrollment","Number","3051"
"East Lyme School District","901123400","2015-2016","Student Enrollment","Number","2792"
"East Windsor School District","900324800","2015-2016","Student Enrollment","Number","1105"
"Eastern Connecticut Regional Educational Services","","2015-2016","Student Enrollment","Number","425"
"Eastford School District","","2015-2016","Student Enrollment","Number","134"
"Easton School District","","2015-2016","Student Enrollment","Number","922"
"Ellington School District","901325360","2015-2016","Student Enrollment","Number","2633"
"Elm City College Preparatory School District","","2015-2016","Student Enrollment","Number","703"
"Elm City Montessori School District","","2015-2016","Student Enrollment","Number","113"
"Enfield School District","900325990","2015-2016","Student Enrollment","Number","5189"
"Essex School District","","2015-2016","Student Enrollment","Number","420"
"Explorations District","","2015-2016","Student Enrollment","Number","92"
"Fairfield School District","900126620","2015-2016","Student Enrollment","Number","10091"
"Farmington School District","900327600","2015-2016","Student Enrollment","Number","4096"
"Franklin School District","","2015-2016","Student Enrollment","Number","170"
"Glastonbury School District","900331240","2015-2016","Student Enrollment","Number","6069"
"Granby School District","900332640","2015-2016","Student Enrollment","Number","1961"
"Great Oaks Charter School Bridgeport","","2015-2016","Student Enrollment","Number","226"
"Greenwich School District","900133620","2015-2016","Student Enrollment","Number","8825"
"Griswold School District","901133900","2015-2016","Student Enrollment","Number","1891"
"Groton School District","901134250","2015-2016","Student Enrollment","Number","4519"
"Guilford School District","900934950","2015-2016","Student Enrollment","Number","3419"
"Hamden School District","900935650","2015-2016","Student Enrollment","Number","5547"
"Hampton School District","","2015-2016","Student Enrollment","Number","101"
"Hartford School District","900337070","2015-2016","Student Enrollment","Number","21463"
"Hartland School District","","2015-2016","Student Enrollment","Number","188"
"Hebron School District","","2015-2016","Student Enrollment","Number","732"
"Highville Charter School District","","2015-2016","Student Enrollment","Number","462"
"Integrated Day Charter School District","","2015-2016","Student Enrollment","Number","331"
"Interdistrict School for Arts and Communication District","","2015-2016","Student Enrollment","Number","271"
"Jumoke Academy District","","2015-2016","Student Enrollment","Number","734"
"Kent School District","","2015-2016","Student Enrollment","Number","237"
"Killingly School District","901540500","2015-2016","Student Enrollment","Number","2596"
"LEARN","","2015-2016","Student Enrollment","Number","2373"
"Lebanon School District","901142390","2015-2016","Student Enrollment","Number","1054"
"Ledyard School District","901142600","2015-2016","Student Enrollment","Number","2445"
"Lisbon School District","","2015-2016","Student Enrollment","Number","392"
"Litchfield School District","900543370","2015-2016","Student Enrollment","Number","971"
"Madison School District","900944560","2015-2016","Student Enrollment","Number","3027"
"Manchester School District","900344700","2015-2016","Student Enrollment","Number","6243"
"Mansfield School District","","2015-2016","Student Enrollment","Number","1251"
"Marlborough School District","","2015-2016","Student Enrollment","Number","556"
"Meriden School District","900946520","2015-2016","Student Enrollment","Number","7993"
"Middletown School District","900747360","2015-2016","Student Enrollment","Number","4701"
"Milford School District","900947535","2015-2016","Student Enrollment","Number","6152"
"Monroe School District","900148620","2015-2016","Student Enrollment","Number","3180"
"Montville School District","901148900","2015-2016","Student Enrollment","Number","2256"
"Naugatuck School District","900949950","2015-2016","Student Enrollment","Number","4246"
"New Beginnings Inc. Family Academy District","","2015-2016","Student Enrollment","Number","499"
"New Britain School District","900350440","2015-2016","Student Enrollment","Number","10071"
"New Canaan School District","900150580","2015-2016","Student Enrollment","Number","4227"
"New Fairfield School District","900150860","2015-2016","Student Enrollment","Number","2497"
"New Hartford School District","","2015-2016","Student Enrollment","Number","470"
"New Haven School District","900952070","2015-2016","Student Enrollment","Number","21725"
"New London School District","901152350","2015-2016","Student Enrollment","Number","3381"
"New Milford School District","900552630","2015-2016","Student Enrollment","Number","4245"
"Newington School District","900352140","2015-2016","Student Enrollment","Number","4060"
"Newtown School District","900152980","2015-2016","Student Enrollment","Number","4588"
"Norfolk School District","","2015-2016","Student Enrollment","Number","116"
"North Branford School District","900953890","2015-2016","Student Enrollment","Number","1889"
"North Canaan School District","","2015-2016","Student Enrollment","Number","260"
"North Haven School District","900954870","2015-2016","Student Enrollment","Number","3188"
"North Stonington School District","901155500","2015-2016","Student Enrollment","Number","728"
"Norwalk School District","900156060","2015-2016","Student Enrollment","Number","11409"
"Norwich Free Academy District","","2015-2016","Student Enrollment","Number","2282"
"Norwich School District","901156270","2015-2016","Student Enrollment","Number","3705"
"Odyssey Community School District","","2015-2016","Student Enrollment","Number","328"
"Old Saybrook School District","900757320","2015-2016","Student Enrollment","Number","1346"
"Orange School District","","2015-2016","Student Enrollment","Number","1179"
"Oxford School District","900958300","2015-2016","Student Enrollment","Number","1974"
"Park City Prep Charter School District","","2015-2016","Student Enrollment","Number","360"
"Path Academy District","","2015-2016","Student Enrollment","Number","143"
"Plainfield School District","901559980","2015-2016","Student Enrollment","Number","2330"
"Plainville School District","900360120","2015-2016","Student Enrollment","Number","2409"
"Plymouth School District","900560750","2015-2016","Student Enrollment","Number","1522"
"Pomfret School District","","2015-2016","Student Enrollment","Number","402"
"Portland School District","900761800","2015-2016","Student Enrollment","Number","1360"
"Preston School District","","2015-2016","Student Enrollment","Number","445"
"Putnam School District","901562710","2015-2016","Student Enrollment","Number","1195"
"Redding School District","","2015-2016","Student Enrollment","Number","954"
"Regional School District 01","","2015-2016","Student Enrollment","Number","446"
"Regional School District 04","","2015-2016","Student Enrollment","Number","928"
"Regional School District 05","","2015-2016","Student Enrollment","Number","2270"
"Regional School District 06","","2015-2016","Student Enrollment","Number","986"
"Regional School District 07","","2015-2016","Student Enrollment","Number","1100"
"Regional School District 08","","2015-2016","Student Enrollment","Number","1601"
"Regional School District 09","","2015-2016","Student Enrollment","Number","1028"
"Regional School District 10","","2015-2016","Student Enrollment","Number","2416"
"Regional School District 11","","2015-2016","Student Enrollment","Number","253"
"Regional School District 12","","2015-2016","Student Enrollment","Number","732"
"Regional School District 13","","2015-2016","Student Enrollment","Number","1751"
"Regional School District 14","","2015-2016","Student Enrollment","Number","1768"
"Regional School District 15","","2015-2016","Student Enrollment","Number","3793"
"Regional School District 16","","2015-2016","Student Enrollment","Number","2270"
"Regional School District 17","","2015-2016","Student Enrollment","Number","2133"
"Regional School District 18","","2015-2016","Student Enrollment","Number","1339"
"Regional School District 19","","2015-2016","Student Enrollment","Number","1213"
"Ridgefield School District","900163970","2015-2016","Student Enrollment","Number","5052"
"Rocky Hill School District","900365370","2015-2016","Student Enrollment","Number","2610"
"Salem School District","","2015-2016","Student Enrollment","Number","384"
"Salisbury School District","","2015-2016","Student Enrollment","Number","274"
"Scotland School District","","2015-2016","Student Enrollment","Number","119"
"Seymour School District","900967610","2015-2016","Student Enrollment","Number","2215"
"Sharon School District","","2015-2016","Student Enrollment","Number","160"
"Shelton School District","900168170","2015-2016","Student Enrollment","Number","4925"
"Sherman School District","","2015-2016","Student Enrollment","Number","337"
"Side By Side Charter School District","","2015-2016","Student Enrollment","Number","236"
"Simsbury School District","900368940","2015-2016","Student Enrollment","Number","4190"
"Somers School District","901369220","2015-2016","Student Enrollment","Number","1435"
"South Windsor School District","900371390","2015-2016","Student Enrollment","Number","4156"
"Southington School District","900370550","2015-2016","Student Enrollment","Number","6583"
"Sprague School District","","2015-2016","Student Enrollment","Number","362"
"Stafford School District","901372090","2015-2016","Student Enrollment","Number","1544"
"Stamford Academy District","","2015-2016","Student Enrollment","Number","150"
"Stamford Charter School for Excellence District","","2015-2016","Student Enrollment","Number","164"
"Stamford School District","900173070","2015-2016","Student Enrollment","Number","15946"
"Sterling School District","","2015-2016","Student Enrollment","Number","454"
"Stonington School District","901173770","2015-2016","Student Enrollment","Number","2174"
"Stratford School District","900174190","2015-2016","Student Enrollment","Number","6901"
"Suffield School District","900374540","2015-2016","Student Enrollment","Number","2358"
"The Bridge Academy District","","2015-2016","Student Enrollment","Number","279"
"The Gilbert School District","","2015-2016","Student Enrollment","Number","553"
"Thomaston School District","900575730","2015-2016","Student Enrollment","Number","900"
"Thompson School District","901575870","2015-2016","Student Enrollment","Number","1007"
"Tolland School District","901376290","2015-2016","Student Enrollment","Number","2600"
"Torrington School District","900576570","2015-2016","Student Enrollment","Number","4266"
"Trailblazers Academy District","","2015-2016","Student Enrollment","Number","125"
"Trumbull School District","900177200","2015-2016","Student Enrollment","Number","6687"
"Unified School District #1","","2015-2016","Student Enrollment","Number","390"
"Unified School District #2","","2015-2016","Student Enrollment","Number","173"
"Union School District","","2015-2016","Student Enrollment","Number","80"
"Vernon School District","901378250","2015-2016","Student Enrollment","Number","3204"
"Voluntown School District","","2015-2016","Student Enrollment","Number","303"
"Wallingford School District","900978740","2015-2016","Student Enrollment","Number","6020"
"Waterbury School District","900980070","2015-2016","Student Enrollment","Number","18862"
"Waterford School District","901180280","2015-2016","Student Enrollment","Number","2528"
"Watertown School District","900580490","2015-2016","Student Enrollment","Number","2828"
"West Hartford School District","900382590","2015-2016","Student Enrollment","Number","9757"
"West Haven School District","900982870","2015-2016","Student Enrollment","Number","5842"
"Westbrook School District","900781680","2015-2016","Student Enrollment","Number","782"
"Western Connecticut Regional Educational Services","","2015-2016","Student Enrollment","Number","227"
"Weston School District","900183430","2015-2016","Student Enrollment","Number","2408"
"Westport School District","900183500","2015-2016","Student Enrollment","Number","5714"
"Wethersfield School District","900384900","2015-2016","Student Enrollment","Number","3651"
"Willington School District","","2015-2016","Student Enrollment","Number","435"
"Wilton School District","900186370","2015-2016","Student Enrollment","Number","4173"
"Winchester School District","900586440","2015-2016","Student Enrollment","Number","589"
"Windham School District","901586790","2015-2016","Student Enrollment","Number","3296"
"Windsor Locks School District","900387070","2015-2016","Student Enrollment","Number","1638"
"Windsor School District","900387000","2015-2016","Student Enrollment","Number","3214"
"Wolcott School District","900987560","2015-2016","Student Enrollment","Number","2346"
"Woodbridge School District","","2015-2016","Student Enrollment","Number","775"
"Woodstock Academy District","","2015-2016","Student Enrollment","Number","1022"
"Woodstock School District","","2015-2016","Student Enrollment","Number","862"
"Achievement First Bridgeport Academy District","","2016-2017","Student Enrollment","Number","1044"
"Achievement First Hartford Academy District","","2016-2017","Student Enrollment","Number","1066"
"Amistad Academy District","","2016-2017","Student Enrollment","Number","1057"
"Andover School District","","2016-2017","Student Enrollment","Number","225"
"Ansonia School District","900901220","2016-2017","Student Enrollment","Number","2364"
"Area Cooperative Educational Services","","2016-2017","Student Enrollment","Number","1947"
"Ashford School District","","2016-2017","Student Enrollment","Number","407"
"Avon School District","900302060","2016-2017","Student Enrollment","Number","3288"
"Barkhamsted School District","","2016-2017","Student Enrollment","Number","255"
"Berlin School District","","2016-2017","Student Enrollment","Number","2805"
"Bethany School District","","2016-2017","Student Enrollment","Number","356"
"Bethel School District","900104720","2016-2017","Student Enrollment","Number","2996"
"Bloomfield School District","900305910","2016-2017","Student Enrollment","Number","2157"
"Bolton School District","901306260","2016-2017","Student Enrollment","Number","820"
"Booker T Washington Academy District","","2016-2017","Student Enrollment","Number","241"
"Bozrah School District","","2016-2017","Student Enrollment","Number","208"
"Branford School District","900907310","2016-2017","Student Enrollment","Number","2983"
"Brass City Charter School District","","2016-2017","Student Enrollment","Number","219"
"Bridgeport School District","900108070","2016-2017","Student Enrollment","Number","21222"
"Bristol School District","900308490","2016-2017","Student Enrollment","Number","8073"
"Brookfield School District","900108980","2016-2017","Student Enrollment","Number","2673"
"Brooklyn School District","","2016-2017","Student Enrollment","Number","863"
"Canaan School District","","2016-2017","Student Enrollment","Number","73"
"Canterbury School District","","2016-2017","Student Enrollment","Number","471"
"Canton School District","900312270","2016-2017","Student Enrollment","Number","1623"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Student Enrollment","Number","254"
"Capitol Region Education Council","","2016-2017","Student Enrollment","Number","8590"
"Chaplin School District","","2016-2017","Student Enrollment","Number","158"
"Charter School for Young Children on Asylum Hill","","2016-2017","Student Enrollment","Number","-6666"
"Cheshire School District","900914160","2016-2017","Student Enrollment","Number","4358"
"Chester School District","","2016-2017","Student Enrollment","Number","206"
"Clinton School District","900715350","2016-2017","Student Enrollment","Number","1790"
"Colchester School District","901115910","2016-2017","Student Enrollment","Number","2488"
"Colebrook School District","","2016-2017","Student Enrollment","Number","78"
"Columbia School District","","2016-2017","Student Enrollment","Number","434"
"Common Ground High School District","","2016-2017","Student Enrollment","Number","200"
"Connecticut","9","2016-2017","Student Enrollment","Number","538893"
"Connecticut Technical High School System","","2016-2017","Student Enrollment","Number","10556"
"Cooperative Educational Services","","2016-2017","Student Enrollment","Number","842"
"Cornwall School District","","2016-2017","Student Enrollment","Number","72"
"Coventry School District","","2016-2017","Student Enrollment","Number","1625"
